事熟	事熟 相熟
事话	事话 话语
二指	二指 食指
亚公	亚公 祖父
亚哥	亚哥 哥哥
亚奶	亚奶 母亲
亚婆	亚婆 祖母
亚嫂	亚嫂 嫂子
亚理	亚理 理亏
人客	人客 客人
今日	今日 今天
仔娘	仔娘 母子
仔爷	仔爷 父子
令仔	令仔 谜语
伙记	伙记 伙计
伢仔	伢仔 婴儿
佬仔	佬仔 男人
使黑	使黑 黄昏
依自	依自 既然
保头	保头 斧头
信筒	信筒 信封
倚侍	倚侍 倚仗
倾偈	倾偈 闲谈
做戏	做戏 演戏
做肉	做肉 糟糕
做队	做队 做伴
傲鼻	傲鼻 骄傲
傻仔	傻仔 傻子
儑鸡	儑鸡 病鸡
兔仔	兔仔 兔子
兜尿	兜尿 把尿
入去	入去 进去
入来	入来 进来
公响	公响 雷鸣
公打	公打 雷击
公鼻	公鼻 螵蛸
内伤	内伤 肺病
册花	册花 封包
冲身	冲身 淋浴
冻水	冻水 凉水
几多	几多 多少
出世	出世 出生
出声	出声 作声
出奇	出奇 奇怪
切肝	切肝 痛心
刨仔	刨仔 刨子
刨口	刨口 刨花
利息	利息 利润
前日	前日 前天
前时	前时 从前
千秋	千秋 秋千
卡世	卡世 阔气
即刻	即刻 立即
厅底	厅底 客厅
厌足	厌足 满足
去圩	去圩 赶集
去村	去村 探亲
发市	发市 交易
发梦	发梦 做梦
发身	发身 发育
叔侄	叔侄 同宗
古仔	古仔 故事
古粽	古粽 粽子
古肃	古肃 死板
号着	号着 凡是
吃酒	吃酒 喝酒
吊味	吊味 调味
吊颈	吊颈 自缢
后日	后日 后天
听闻	听闻 听见
吹鸡	吹鸡 吹哨
呕皿	呕皿 吐血
周时	周时 常常
咬身	咬身 合身
咸虾	咸虾 虾酱
哑吉	哑吉 口吃
唞气	唞气 呼吸
嚣离	嚣离 刻薄
四位	四位 四周
四处	四处 四周
围杆	围杆 桅樯
图诉	图诉 告诉
圆枱	圆枱 圆桌
土狗	土狗 蝼蛄
在意	在意 留神
在行	在行 内行
地豆	地豆 花生
地都	地都 死了
坐监	坐监 坐牢
塘蒿	塘蒿 茼蒿
塞督	塞督 愚蠢
墨砚	墨砚 砚台
墨笔	墨笔 毛笔
士的	士的 手杖
士胆	士胆 邮票
外低	外低 外面
外佬	外佬 岳父
外家	外家 娘家
外母	外母 岳母
夜学	夜学 夜校
夜宵	夜宵 宵夜
夜间	夜间 深夜
夜鹤	夜鹤 夜鹭
大一	大一 第一
大叔	大叔 堂倌
大姊	大姊 姐姐
大姑	大姑 姑母
大牙	大牙 臼齿
大蕉	大蕉 板蕉
大虫	大虫 老虎
大蠘	大蠘 喜鹊
大赏	大赏 大宗
大髀	大髀 大腿
天井	天井 院子
天光	天光 天亮
天星	天星 星星
天阴	天阴 阴天
太过	太过 过分
失引	失引 肮脏
失阳	失阳 阳痿
头先	头先 先前
头毛	头毛 头发
头蜡	头蜡 发蜡
头路	头路 早造
夹估	夹估 瞎猜
奀个	奀个 小个
好似	好似 好像
好天	好天 晴天
好痛	好痛 疼爱
如古	如古 如果
姑爷	姑爷 姑父
姨丈	姨丈 姨夫
姨婆	姨婆 姨母
威水	威水 好看
嫖舍	嫖舍 嫖娼
字帖	字帖 引格
字粒	字粒 铅字
学堂	学堂 学校
家下	家下 妻子
家俬	家俬 家具
家当	家当 财产
对岁	对岁 周岁
寿板	寿板 棺材
将就	将就 迁就
小妹	小妹 妹妹
小弟	小弟 弟弟
小格	小格 小气
小胆	小胆 胆小
小鬼	小鬼 小气
尾路	尾路 晚造
尿胀	尿胀 尿憋
尿龟	尿龟 夜壶
屋上	屋上 房顶
屋主	屋主 房东
屋己	屋己 家里
屋脊	屋脊 房脊
屋间	屋间 房间
屎忽	屎忽 屁股
屎桶	屎桶 马桶
屎胀	屎胀 尿憋
山窿	山窿 山洞
巡行	巡行 游行
布证	布证 布票
年时	年时 年令
年晚	年晚 年底
应承	应承 答允
底裤	底裤 内裤
廊仔	廊仔 耳房
异心	异心 偏爱
弼是	弼是 难怪
归天	归天 死了
当差	当差 当兵
得好	得好 以便
心事	心事 好意
心淡	心淡 灰心
怕丑	怕丑 害羞
思疑	思疑 怀疑
悖戾	悖戾 蛮横
悭先	悭先 刚才
